Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2020/09/22, 16:02:22, 39.001656, -123.085625, 190.68,  0.00, 6, -2, 0.00, 1
2020/09/22, 16:02:26, 39.001656, -123.085625, 190.68,  0.00, 6, 0, 0.00, 1
2020/09/22, 16:02:31, 39.001759, -123.085541, 196.93,  2124.00, 6, 0, 13.56, 1
2020/09/22, 16:02:36, 39.001766, -123.085503, 204.12,  2124.00, 6, 0, 3.37, 1
2020/09/22, 16:02:41, 39.001778, -123.085480, 204.89,  1044.00, 136, 0, 2.39, 1
2020/09/22, 16:02:46, 39.001785, -123.085472, 209.30,  0.00, 136, 0, 1.04, 
2020/09/22, 16:02:51, 39.001785, -123.085472, 209.30,  0.00, 136, 0, 0.00, 
2020/09/22, 16:02:56, 39.001785, -123.085472, 209.30,  0.00, 136, 0, 0.00, 
2020/09/22, 16:03:01, 39.001785, -123.085472, 209.30,  0.00, 136, 0, 0.00, 
2020/09/22, 16:03:06, 39.001785, -123.085472, 209.30,  0.00, 136, 0, 0.00, 
2020/09/22, 16:03:11, 39.001827, -123.085449, 210.78,  1476.00, 159, 0, 5.08, 1
2020/09/22, 16:03:16, 39.001835, -123.085449, 209.55,  0.00, 159, 0, 0.89, 1
2020/09/22, 16:03:21, 39.001835, -123.085449, 209.55,  0.00, 159, 0, 0.00, 
2020/09/22, 16:03:26, 39.001835, -123.085449, 209.55,  0.00, 159, 0, 0.00, 
2020/09/22, 16:03:31, 39.001835, -123.085449, 209.55,  0.00, 159, 0, 0.00, 
2020/09/22, 16:03:36, 39.001797, -123.085464, 216.96,  1404.00, 177, 0, 4.42, 1
2020/09/22, 16:03:41, 39.001770, -123.085449, 217.44,  144.00, 180, 0, 3.27, 1
2020/09/22, 16:03:46, 39.001762, -123.085472, 221.55,  1872.00, 205, 0, 2.18, 1
2020/09/22, 16:03:51, 39.001766, -123.085472, 223.82,  0.00, 205, 0, 0.44, 
2020/09/22, 16:03:56, 39.001743, -123.085480, 226.85,  0.00, 205, 0, 2.65, 
2020/09/22, 16:04:01, 39.001740, -123.085518, 228.07,  2052.00, 218, 0, 3.30, 
2020/09/22, 16:04:06, 39.001743, -123.085526, 227.86,  0.00, 218, 0, 0.77, 
2020/09/22, 16:04:11, 39.001743, -123.085526, 227.86,  0.00, 218, 0, 0.00, 
2020/09/22, 16:04:16, 39.001743, -123.085526, 227.86,  0.00, 218, 0, 0.00, 
2020/09/22, 16:04:21, 39.001743, -123.085526, 227.86,  0.00, 218, 0, 0.00, 
2020/09/22, 16:04:26, 39.001774, -123.085617, 228.19,  288.00, 218, 0, 8.59, 1
2020/09/22, 16:04:31, 39.001785, -123.085625, 228.06,  0.00, 218, 0, 1.40, 1
2020/09/22, 16:04:36, 39.001785, -123.085625, 228.06,  0.00, 218, 0, 0.00, 
2020/09/22, 16:04:41, 39.001785, -123.085625, 228.06,  0.00, 218, 0, 0.00, 
2020/09/22, 16:04:46, 39.001831, -123.085625, 224.60,  1476.00, 218, 0, 5.11, 
2020/09/22, 16:04:51, 39.001842, -123.085648, 222.34,  2628.00, 286, 0, 2.33, 
