Collar ID,Acq. Time [UTC], Acq. Time [LMT],SCTS [UTC],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,3D Error,Mortality Status,Activity,Temp[°C],Main[V],Backup[V]
35075,2021-05-30 21:01:09,2021-05-30 21:01:09,2021-05-30 21:02:26,Iridium,39.00239,-123.08564,274,1.4,3D Validated,,Mortality No Radius,,22,3.6,3.68
35075,2021-05-30 20:00:19,2021-05-30 20:00:19,2021-05-30 21:02:26,Iridium,39.00200,-123.08529,271,1.6,3D Validated,,Mortality No Radius,,22,3.6,3.68
35075,2021-05-30 19:00:41,2021-05-30 19:00:41,2021-05-30 21:02:26,Iridium,39.00198,-123.08577,357,1.6,3D Validated,,Mortality No Radius,,21,3.6,3.68
35075,2021-05-30 18:00:23,2021-05-30 18:00:23,2021-05-30 21:02:26,Iridium,39.00186,-123.08505,242,1.6,3D Validated,,Mortality No Radius,,21,3.6,3.68
35075,2021-05-30 17:00:25,2021-05-30 17:00:25,2021-05-30 21:02:26,Iridium,39.00217,-123.08550,222,1.2,3D Validated,,Mortality No Radius,,21,3.6,3.68
35075,2021-05-30 16:00:16,2021-05-30 16:00:16,2021-05-30 21:02:26,Iridium,39.00214,-123.08528,262,1.4,3D Validated,,Mortality No Radius,,21,3.6,3.76
35075,2021-05-30 15:00:18,2021-05-30 15:00:18,2021-05-30 21:02:26,Iridium,39.00215,-123.08556,244,1.8,3D Validated,,Mortality No Radius,,21,3.6,3.76
35075,2021-05-30 14:00:36,2021-05-30 14:00:36,2021-05-30 21:02:26,Iridium,39.00190,-123.08550,250,1.2,3D Validated,,Mortality No Radius,,21,3.6,3.68
35075,2021-05-30 13:00:17,2021-05-30 13:00:17,2021-05-30 21:02:26,Iridium,39.00221,-123.08531,277,1.2,3D Validated,,Mortality No Radius,,21,3.6,3.76
35075,2021-05-30 12:00:30,2021-05-30 12:00:30,2021-05-30 21:02:26,Iridium,39.00162,-123.08544,9,1.4,3D Validated,,Mortality No Radius,,21,3.6,3.76
35075,2021-05-30 11:00:21,2021-05-30 11:00:21,2021-05-30 21:02:26,Iridium,39.00243,-123.08531,269,1.2,3D Validated,,Mortality No Radius,,22,3.6,3.76
35075,2021-05-30 10:00:29,2021-05-30 10:00:29,2021-05-30 21:02:26,Iridium,39.00204,-123.08556,262,1.2,3D Validated,,Mortality No Radius,,22,3.6,3.76
35075,2021-05-30 09:00:22,2021-05-30 09:00:22,2021-05-30 21:02:26,Iridium,39.00208,-123.08552,272,1.4,3D Validated,,Mortality No Radius,,22,3.6,3.76
35075,2021-05-30 08:00:36,2021-05-30 08:00:36,2021-05-30 21:02:26,Iridium,39.00181,-123.08534,274,1.4,3D Validated,,Mortality No Radius,,23,3.6,3.76
35075,2021-05-30 07:00:38,2021-05-30 07:00:38,2021-05-30 21:02:26,Iridium,39.00181,-123.08546,240,1.2,3D Validated,,Mortality No Radius,,23,3.6,3.76
