ID,step,angle,x,y,time,states
C4,357.6568145525473,NA,494640.8184624277,4319298.564145882,2021-02-28T17:00:15Z,2
C4,387.5792811126419,0.2891532832051935,494509.8746965391,4318965.739676873,2021-02-28T16:00:16Z,2
C4,332.4153419817717,-1.6298861618768443,494476.7082319352,4318579.582086279,2021-02-28T15:00:12Z,2
C4,141.45708781128465,2.3580312298823793,494147.7701528391,4318627.537270622,2021-02-28T14:00:30Z,2
C4,34.16318752291473,-1.5068664157570175,494232.5273248659,4318514.283884439,2021-02-28T13:00:19Z,1
C4,20.895716997395088,-0.6007181795022847,494206.53919615893,4318492.108660696,2021-02-28T12:00:19Z,1
C4,535.3106736718021,-0.7436588643531437,494185.760052046,4318489.904537567,2021-02-28T11:00:22Z,2
C4,146.3479488390002,-2.7494893206546616,493755.7448137016,4318808.721745601,2021-02-28T10:00:37Z,2
C4,253.82851917793008,2.79277353045469,493897.69123937713,4318773.099640563,2021-02-28T09:00:25Z,2
C4,200.41703750837414,0.22571474897464183,493687.44029215974,4318915.308839781,2021-02-28T08:00:10Z,2
C4,239.70476351837752,-1.1954174078363962,493500.5122724532,4318987.592339781,2021-02-28T07:00:21Z,2
C4,1307.6814330408763,-0.5597852967692845,493498.9787334804,4319227.292197753,2021-02-28T06:00:11Z,3
C4,20.272723262053244,-2.7605615213308554,494186.259830241,4320339.800815407,2021-02-28T05:00:38Z,1
C4,13.567398093046197,3.1206384810091228,494182.7829687439,4320319.828465956,2021-02-28T04:00:25Z,1
C4,93.2762751503084,-2.1397528163971105,494185.3893873939,4320333.143152315,2021-02-28T03:00:21Z,2
C4,556.7212733069061,-0.3380083547454902,494252.85352870653,4320268.730008137,2021-02-28T02:00:13Z,3
C4,687.6207975283671,0.09482364649918384,494505.24342802365,4319772.506354051,2021-02-28T01:00:28Z,3
C4,495.4872249806766,0.03999402379722594,494873.6064989654,4319191.87651572,2021-02-28T00:00:38Z,3
C4,476.8617987242602,-1.6009274144226624,495155.55876754044,4318784.432644292,2021-02-27T23:00:28Z,3
C4,21.184908377234443,1.951642708971008,494755.43380795664,4318525.015621333,2021-02-27T22:00:13Z,1
C4,45.921236901498844,-0.5496658471878848,494772.7402246962,4318512.797262909,2021-02-27T21:00:12Z,1
C4,84.73002023456998,-2.3816461837579217,494790.89261518477,4318470.616097466,2021-02-27T20:00:19Z,1
C4,72.40182778461372,-2.860723760019141,494712.999098317,4318503.959408023,2021-02-27T19:00:19Z,1
C4,16.37128873881338,-0.8270586379828544,494784.8486520089,4318495.033809958,2021-02-27T18:00:12Z,1
C4,6.126339353734377,2.082997961471409,494794.3628736123,4318481.710946818,2021-02-27T17:00:09Z,1
C4,326.55567005315396,-2.253991430354101,494796.96372906957,4318487.25780041,2021-02-27T16:00:11Z,2
C4,129.83935661386133,-0.4564615648865029,494938.754546847,4318193.091232564,2021-02-27T15:00:12Z,2
C4,195.4438223214237,-1.0539977734345074,494937.805379495,4318063.255345356,2021-02-27T14:00:11Z,2
C4,1365.7063590331084,-0.125403234031507,494767.1840447816,4317967.931435321,2021-02-27T13:00:15Z,3
C4,915.6373604542113,-0.8731498991420992,493500.9807208673,4317456.186380033,2021-02-27T12:00:12Z,3
C4,145.31228304934262,2.3614409539839807,492692.6812169595,4317886.353426472,2021-02-27T11:00:38Z,3
C4,16.371798807786988,-2.8232439892859844,492735.8431711676,4317747.599308285,2021-02-27T10:00:21Z,1
C4,20.189996876055393,0.7842967882114191,492726.3315354781,4317760.924644405,2021-02-27T09:00:21Z,1
C4,1620.2244216027932,-0.39804108803884164,492706.4209870871,4317764.272186283,2021-02-27T08:00:11Z,3
C4,978.2810481477586,-2.5848238606409963,491337.66168674803,4318631.235365486,2021-02-27T07:00:16Z,3
C4,1867.5714249369905,1.9168886456244443,492315.9126428234,4318623.562289005,2021-02-27T06:00:11Z,3
C4,14.073391796848657,-2.818501125314423,491696.18588388455,4320385.311922607,2021-02-27T05:00:12Z,1
C4,380.808802078936,2.6527983096396173,491704.82941152144,4320374.205627696,2021-02-27T04:00:12Z,3
C4,748.8923269669245,2.4860799352985836,491639.44793239556,4320749.359737267,2021-02-27T03:00:11Z,3
C4,7.012800856601922,1.8937480561709819,491291.6558894249,4320086.12492799,2021-02-27T02:00:38Z,1
C4,10.247787407370895,-2.2754525960028733,491298.5791010107,4320085.00755733,2021-02-27T01:00:14Z,1
C4,8.225054975152506,-1.277284330187392,491290.7817441306,4320078.3578676805,2021-02-27T00:00:10Z,1
C4,10.406255470292725,2.8688950056784854,491283.86221238534,4320082.804395514,2021-02-26T23:00:32Z,1
C4,35.888702676250524,-0.5828280060785739,491290.77806245815,4320075.028717364,2021-02-26T22:00:11Z,1
C4,72.55106382841912,3.1039556712665255,491295.9321504581,4320039.512040202,2021-02-26T21:00:23Z,1
C4,14.03409720315197,-2.7331783835975134,491288.22190525895,4320111.652243844,2021-02-26T20:00:13Z,1
C4,16.53850225013011,-2.4289221613783636,491295.13282769953,4320099.437701883,2021-02-26T19:00:12Z,1
C4,17.074548778255373,2.858926595128309,491279.5590132545,4320105.003522605,2021-02-26T18:00:10Z,1
C4,591.4866482212315,-1.7929645222354877,491293.39681374695,4320095.000748314,2021-02-26T17:00:31Z,3
C4,1663.2029152784744,1.7173773548840081,490849.7781831529,4319703.773236994,2021-02-26T16:00:11Z,3
C4,778.9238290564816,0.5532656747540474,492120.2676517507,4318630.413815564,2021-02-26T15:00:11Z,3
C4,34.823794062131306,0.6097628756290472,492890.65043958876,4318515.38037836,2021-02-26T14:00:32Z,1
