ID,step,angle,TimeNum,locType,time,nu.x,nu.y,se.mu.x,se.nu.x,se.mu.y,se.nu.y,speed,x,y,hour,State
35076,133.68745283409388,NA,457319.0105555556,p,2021-12-09T12:00:13Z,0,0,0,9.525911504942712e-143,0,9.525911504942712e-143,0,491013.5176461974,4317550.73616584,4,resting
35076,117.14067903736533,1.73194791841524e-14,NA,p,2021-12-09T13:00:13Z,-124.12923514670707,-26.190862027362595,0,2.152617011918283e-143,0,2.152617011918283e-143,126.86224131648804,490882.71023575915,4317523.136230701,5,resting
35076,645.6371572898703,-1.67004122390033,NA,p,2021-12-09T14:00:13Z,-105.60379958401934,-22.282055804189614,2.879524266263439e-143,3.985729544261626e-143,2.879524266263439e-143,3.985729544261626e-143,107.92892335904561,490768.0931302865,4317498.952396877,6,meandering
35076,730.5355687013017,0.202526337884387,NA,p,2021-12-09T15:00:13Z,-242.27623594241686,753.154189832771,0,2.006332474940282e-143,0,2.006332474940282e-143,791.1630730545272,490698.04938435624,4318140.778862933,7,meandering
35076,318.18251650081174,-2.8573399582079,NA,p,2021-12-09T16:00:13Z,-206.1181721952494,640.7511012612111,2.7883149033062956e-143,3.9301017798525256e-143,2.7883149033062956e-143,3.9301017798525256e-143,673.0874197877756,490474.33898401656,4318836.218201709,8,meandering
35076,589.7447257055718,2.85579840558608,NA,p,2021-12-09T17:00:13Z,4.154331831191797,128.91902553408147,2.7804478056600874e-143,3.9284908043674982e-143,2.7804478056600874e-143,3.9284908043674982e-143,128.98594348850887,490652.8097319477,4318572.801600221,9,meandering
35076,308.6206137625996,0.344246953901027,NA,p,2021-12-09T18:00:13Z,-86.0194075617496,325.62747127881266,2.7653390388883597e-143,3.9231696369134984e-143,2.7653390388883597e-143,3.9231696369134984e-143,336.79754828191426,490473.07908195455,4319134.491670411,10,meandering
35076,380.62070010355745,3.03262336367324,NA,p,2021-12-09T19:00:13Z,-126.16516074849056,249.77103515907766,2.7534069804516724e-143,3.9186247587642266e-143,2.7534069804516724e-143,3.9186247587642266e-143,279.82712125726783,490285.34112345614,4319379.4429761395,11,meandering
35076,90.38823053627607,-2.98139523049656,NA,p,2021-12-09T20:00:13Z,46.133672520873446,-59.47945283906614,2.7766742696974733e-143,3.92553690595312e-143,2.7766742696974733e-143,3.92553690595312e-143,75.2736411388335,490482.65012129414,4319053.956760272,12,resting
35076,4.183384042661187,-1.79043557729412,NA,p,2021-12-09T21:00:13Z,4.006973623497984,2.1142806794499034,0,2.0047393845585013e-143,0,2.0047393845585013e-143,4.530565131515461,490424.06436599075,4319122.7880140385,13,resting
35076,28.37228327096946,0.345461501266013,NA,p,2021-12-09T22:00:13Z,3.4089603385875558,1.7987388134076885,2.786966092366392e-143,3.929512692434011e-143,2.786966092366392e-143,3.929512692434011e-143,3.8544094111708325,490427.7642817913,4319124.740275578,14,resting
35076,113.87490806394304,2.86023023484562,NA,p,2021-12-09T23:00:13Z,10.677668231753067,10.921375083929494,2.783413372102677e-143,3.92938417566926e-143,2.783413372102677e-143,3.92938417566926e-143,15.273802165514146,490446.8914400107,4319145.695901945,15,resting
35076,71.38070360352548,2.794849555843,NA,p,2021-12-10T00:00:13Z,-43.01703985740983,-24.595078350821076,2.7816146390181364e-143,3.9285213503301713e-143,2.7816146390181364e-143,3.9285213503301713e-143,49.551827384840344,490349.7877628639,4319086.211697562,16,resting
35076,18.16342518397013,-2.45968996120342,NA,p,2021-12-10T01:00:13Z,-12.460654920138417,-15.220811730569231,0,2.0047817836363134e-143,0,2.0047817836363134e-143,19.670816728753376,490419.70449687453,4319100.594157442,17,resting
35076,38.80875212585327,-2.94578990916813,NA,p,2021-12-10T02:00:13Z,-10.600987779524155,-12.94921014861151,2.7869912091716396e-143,3.929527961473234e-143,2.7869912091716396e-143,3.929527961473234e-143,16.7350824728928,490408.1987126203,4319086.53972956,18,resting
35076,12.498284491203043,2.38526205780407,NA,p,2021-12-10T03:00:13Z,4.639326877175321,11.468641013519237,2.7826300508691407e-143,3.9291347648050955e-143,2.7826300508691407e-143,3.9291347648050955e-143,12.371462345667018,490426.47039391514,4319120.778083846,19,resting
35076,25.357516743681046,2.27827587738586,NA,p,2021-12-10T04:00:13Z,-3.9102755295433207,2.659210425683539,2.783046891448291e-143,3.9289375154104946e-143,2.783046891448291e-143,3.9289375154104946e-143,4.728811140763535,490414.62340841757,4319116.796118271,20,resting
35076,130.49069303574845,2.40452027627132,NA,p,2021-12-10T05:00:13Z,9.042877985761706,-5.280775631155002,2.769090103264969e-143,3.9245432855301764e-143,2.769090103264969e-143,3.9245432855301764e-143,10.47187822369866,490436.384969206,4319103.779278122,21,resting
35076,150.9597596422102,3.00668864549211,457301.0105555556,p,2021-12-10T06:00:13Z,-14.877660951992059,58.8294759342634,2.7791527485908357e-143,3.9270345045593873e-143,2.7791527485908357e-143,3.9270345045593873e-143,60.681562554885694,490398.4885332064,4319228.645931426,22,resting
35076,30.911081396092477,2.9873801059753,NA,p,2021-12-10T07:00:13Z,5.729396546815535,-48.99419136497279,2.788304144099061e-143,3.9305406752761116e-143,2.788304144099061e-143,3.9305406752761116e-143,49.32805258976109,490422.502858197,4319079.608482352,23,resting
35076,504.07591724483785,2.66579182077435,NA,p,2021-12-10T08:00:13Z,51.8529529105418,-228.866953421807,0,1.9926364445126457e-143,0,1.9926364445126457e-143,234.6674478791689,490422.3314943399,4319110.519088744,0,meandering
35076,592.4171048751253,0.31965049518024,NA,p,2021-12-10T09:00:13Z,-290.97579976738547,-483.4048479281213,0,2.0102935109082946e-143,0,2.0102935109082946e-143,564.2226183437524,490193.92691525427,4318661.159679586,1,meandering
35076,654.0474152762404,0.392781534172413,NA,p,2021-12-10T10:00:13Z,-29.90449266623358,-579.947500831024,0,2.0110643947919712e-143,0,2.0110643947919712e-143,580.7179887017237,490105.04193506687,4318075.448584894,2,meandering
35076,433.5057229316212,0.682317585601571,NA,p,2021-12-10T11:00:13Z,197.87549378039745,-613.7987384305037,0,2.010940078669675e-143,0,2.010940078669675e-143,644.9058864188743,490261.89212991315,4317440.487138973,3,meandering
35076,366.0789453242835,0.252529682664167,NA,p,2021-12-10T12:00:13Z,366.11798760233455,-152.11233860985908,0,2.0109301330478884e-143,0,2.0109301330478884e-143,396.46001614708086,490607.9663709695,4317179.41275974,4,meandering
35076,1055.3757513852313,-0.633165321001061,NA,p,2021-12-10T13:00:13Z,311.4773932278361,-129.41061710262366,2.7907687113051835e-143,3.931802385675047e-143,2.7907687113051835e-143,3.931802385675047e-143,337.2910824657093,490946.028423401,4317038.956920005,5,traveling
35076,1505.3712290514177,0.317077549385848,NA,p,2021-12-10T14:00:13Z,1191.0643650686777,-1521.6969811080016,0,2.0122698626178344e-143,0,2.0122698626178344e-143,1932.406795695373,491492.12235848873,4316135.851504967,6,traveling
35076,548.5066477008628,2.20243785587049,NA,p,2021-12-10T15:00:13Z,1064.060235258454,-781.7343182544621,0,2.0129182795136016e-143,0,2.0129182795136016e-143,1320.3532590163304,492633.8740691893,4315154.757437933,7,traveling
