Collar ID,Acq. Time [UTC], Acq. Time [LMT],SCTS [UTC],Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,3D Error,Mortality Status,Activity,Temp[°C],Main[V],Backup[V]
35076,2022-03-03 06:00:11,2022-03-03 06:00:11,2022-03-03 11:01:01,Iridium,39.01984,-123.13426,154,1.2,3D Validated,,Nothing Detected,,14,3.36,3.68
35074,2022-03-03 06:00:10,2022-03-03 06:00:10,2022-03-04 17:00:46,Iridium,39.04528,-123.11672,342,1.2,3D Validated,,Nothing Detected,,16,3.36,3.68
35074,2022-03-03 05:00:38,2022-03-03 05:00:38,2022-03-03 05:01:32,Iridium,39.04818,-123.11700,358,1.2,3D Validated,,Nothing Detected,,16,3.28,3.68
35076,2022-03-03 05:00:38,2022-03-03 05:00:38,2022-03-03 11:01:01,Iridium,39.01969,-123.13448,150,1,3D Validated,,Nothing Detected,,15,3.36,3.68
35078,2022-03-03 05:00:12,2022-03-03 05:00:12,2022-03-03 05:00:42,Iridium,38.99967,-123.11335,184,1,3D Validated,,Nothing Detected,,16,3.28,3.6
35076,2022-03-03 04:00:28,2022-03-03 04:00:28,2022-03-03 11:01:01,Iridium,39.02275,-123.13666,175,1.4,3D Validated,,Nothing Detected,,16,3.36,3.68
35074,2022-03-03 04:00:15,2022-03-03 04:00:15,2022-03-03 05:01:32,Iridium,39.04794,-123.11660,372,1,3D Validated,,Nothing Detected,,17,3.36,3.68
35078,2022-03-03 04:00:11,2022-03-03 04:00:11,2022-03-03 05:00:42,Iridium,38.99712,-123.11545,161,1,3D Validated,,Nothing Detected,,15,3.2,3.6
35076,2022-03-03 03:00:17,2022-03-03 03:00:17,2022-03-03 11:01:01,Iridium,39.02268,-123.13600,192,1.4,3D Validated,,Nothing Detected,,16,3.36,3.68
35074,2022-03-03 03:00:13,2022-03-03 03:00:13,2022-03-03 05:01:32,Iridium,39.04813,-123.11643,365,1.2,3D Validated,,Nothing Detected,,18,3.36,3.68
35077,2022-03-03 03:00:11,2022-03-03 03:00:11,2022-03-03 03:00:34,Iridium,39.01048,-123.07448,446,2.4,3D Validated,,Nothing Detected,,16,3.28,3.6
35078,2022-03-03 03:00:11,2022-03-03 03:00:11,2022-03-03 05:00:42,Iridium,38.99162,-123.10533,153,1.2,3D Validated,,Nothing Detected,,16,3.28,3.6
35076,2022-03-03 02:00:19,2022-03-03 02:00:19,2022-03-03 11:01:01,Iridium,39.02600,-123.13972,242,1.6,3D Validated,,Nothing Detected,,20,3.36,3.68
35078,2022-03-03 02:00:18,2022-03-03 02:00:18,2022-03-03 05:00:42,Iridium,38.99378,-123.10616,97,1,3D Validated,,Nothing Detected,,22,3.28,3.6
35077,2022-03-03 02:00:13,2022-03-03 02:00:13,2022-03-03 03:00:34,Iridium,39.01091,-123.07418,476,1,3D Validated,,Nothing Detected,,20,3.28,3.6
35074,2022-03-03 02:00:12,2022-03-03 02:00:12,2022-03-03 05:01:32,Iridium,39.04850,-123.11071,467,1.4,3D Validated,,Nothing Detected,,24,3.44,3.68
35078,2022-03-03 01:00:13,2022-03-03 01:00:13,2022-03-03 05:00:42,Iridium,38.99314,-123.10756,163,1,3D Validated,,Nothing Detected,,24,3.28,3.6
35077,2022-03-03 01:00:13,2022-03-03 01:00:13,2022-03-03 03:00:34,Iridium,39.01187,-123.07622,494,1.2,3D Validated,,Nothing Detected,,26,3.28,3.6
35076,2022-03-03 01:00:12,2022-03-03 01:00:12,2022-03-03 11:01:01,Iridium,39.02641,-123.13987,169,1.2,3D Validated,,Nothing Detected,,20,3.44,3.68
35074,2022-03-03 01:00:11,2022-03-03 01:00:11,2022-03-03 05:01:32,Iridium,39.04853,-123.11091,472,1.2,3D Validated,,Nothing Detected,,25,3.44,3.68
35074,2022-03-03 00:00:37,2022-03-03 00:00:37,2022-03-03 05:01:32,Iridium,39.04848,-123.11082,422,1.4,3D Validated,,Nothing Detected,,26,3.36,3.68
35077,2022-03-03 00:00:30,2022-03-03 00:00:30,2022-03-03 03:00:34,Iridium,39.01217,-123.07621,491,1.2,3D Validated,,Nothing Detected,,25,3.28,3.6
35078,2022-03-03 00:00:22,2022-03-03 00:00:22,2022-03-03 05:00:42,Iridium,38.99328,-123.10731,250,1.2,3D Validated,,Nothing Detected,,26,3.28,3.6
35076,2022-03-03 00:00:11,2022-03-03 00:00:11,2022-03-03 11:01:01,Iridium,39.02643,-123.13990,161,1.4,3D Validated,,Nothing Detected,,23,3.44,3.68
35077,2022-03-02 23:00:39,2022-03-02 23:00:39,2022-03-03 03:00:34,Iridium,39.01198,-123.07648,508,1.2,3D Validated,,Nothing Detected,,32,3.28,3.6
35076,2022-03-02 23:00:36,2022-03-02 23:00:36,2022-03-03 11:01:01,Iridium,39.02646,-123.13990,173,1.2,3D Validated,,Nothing Detected,,27,3.36,3.68
35078,2022-03-02 23:00:22,2022-03-02 23:00:22,2022-03-03 05:00:42,Iridium,38.99286,-123.10748,221,1.2,3D Validated,,Nothing Detected,,28,3.28,3.6
35074,2022-03-02 23:00:13,2022-03-02 23:00:13,2022-03-03 05:01:32,Iridium,39.04843,-123.11068,432,1.4,3D Validated,,Nothing Detected,,33,3.44,3.68
35076,2022-03-02 22:00:23,2022-03-02 22:00:23,2022-03-03 11:01:01,Iridium,39.02600,-123.13962,226,1.4,3D Validated,,Nothing Detected,,30,3.44,3.68
35078,2022-03-02 22:00:13,2022-03-02 22:00:13,2022-03-03 05:00:42,Iridium,38.99277,-123.10751,132,1.2,3D Validated,,Nothing Detected,,28,3.28,3.6
35077,2022-03-02 22:00:12,2022-03-02 22:00:12,2022-03-03 03:00:34,Iridium,39.01223,-123.07642,483,1.4,3D Validated,,Nothing Detected,,26,3.28,3.6
35074,2022-03-02 22:00:12,2022-03-02 22:00:12,2022-03-03 05:01:32,Iridium,39.04864,-123.11133,486,1.6,3D Validated,,Nothing Detected,,29,3.36,3.68
35076,2022-03-02 21:00:27,2022-03-02 21:00:27,2022-03-03 11:01:01,Iridium,39.02667,-123.13962,150,1.6,3D Validated,,Nothing Detected,,26,3.36,3.68
35077,2022-03-02 21:00:20,2022-03-02 21:00:20,2022-03-03 03:00:34,Iridium,39.01216,-123.07638,483,1.4,3D Validated,,Nothing Detected,,29,3.28,3.6
35074,2022-03-02 21:00:15,2022-03-02 21:00:15,2022-03-03 05:01:32,Iridium,39.04905,-123.11077,445,2.6,3D Validated,,Nothing Detected,,31,3.36,3.68
35078,2022-03-02 21:00:12,2022-03-02 21:00:12,2022-03-03 05:00:42,Iridium,38.99330,-123.10851,170,1.6,3D Validated,,Nothing Detected,,29,3.28,3.6
35077,2022-03-02 20:00:23,2022-03-02 20:00:23,2022-03-03 03:00:34,Iridium,39.01260,-123.07616,442,2,3D Validated,,Nothing Detected,,25,3.28,3.6
35076,2022-03-02 20:00:22,2022-03-02 20:00:22,2022-03-03 11:01:01,Iridium,39.02638,-123.13966,139,1.4,3D Validated,,Nothing Detected,,27,3.36,3.68
35078,2022-03-02 20:00:13,2022-03-02 20:00:13,2022-03-03 05:00:42,Iridium,38.99340,-123.10812,128,1.2,3D Validated,,Nothing Detected,,27,3.28,3.6
35074,2022-03-02 20:00:11,2022-03-02 20:00:11,2022-03-03 05:01:32,Iridium,39.04894,-123.11073,438,1.4,3D Validated,,Nothing Detected,,29,3.36,3.68
35078,2022-03-02 19:00:19,2022-03-02 19:00:19,2022-03-03 05:00:42,Iridium,38.99344,-123.10824,148,1.2,3D Validated,,Nothing Detected,,28,3.28,3.6
35074,2022-03-02 19:00:19,2022-03-02 19:00:19,2022-03-03 05:01:32,Iridium,39.04855,-123.11082,409,1.2,3D Validated,,Nothing Detected,,26,3.36,3.68
35076,2022-03-02 19:00:13,2022-03-02 19:00:13,2022-03-03 11:01:01,Iridium,39.02627,-123.13967,157,1.2,3D Validated,,Nothing Detected,,32,3.44,3.68
35077,2022-03-02 19:00:09,2022-03-02 19:00:09,2022-03-03 03:00:34,Iridium,39.01223,-123.07627,485,1.4,3D Validated,,Nothing Detected,,30,3.28,3.6
35077,2022-03-02 18:00:38,2022-03-02 18:00:38,2022-03-03 03:00:34,Iridium,39.01212,-123.07632,491,1,3D Validated,,Nothing Detected,,28,3.28,3.6
35074,2022-03-02 18:00:17,2022-03-02 18:00:17,2022-03-03 05:01:32,Iridium,39.04833,-123.11064,401,1.6,3D Validated,,Nothing Detected,,23,3.36,3.68
35076,2022-03-02 18:00:11,2022-03-02 18:00:11,2022-03-03 11:01:01,Iridium,39.02654,-123.13976,171,1.2,3D Validated,,Nothing Detected,,23,3.36,3.68
35078,2022-03-02 18:00:11,2022-03-02 18:00:11,2022-03-03 05:00:42,Iridium,38.99352,-123.10839,187,1.4,3D Validated,,Nothing Detected,,22,3.28,3.6
35078,2022-03-02 17:00:32,2022-03-02 17:00:32,2022-03-03 05:00:42,Iridium,38.99413,-123.10972,151,1.2,3D Validated,,Nothing Detected,,18,3.28,3.6
35077,2022-03-02 17:00:27,2022-03-02 17:00:27,2022-03-03 03:00:34,Iridium,39.01185,-123.07610,509,1.2,3D Validated,,Nothing Detected,,24,3.28,3.6
35074,2022-03-02 17:00:15,2022-03-02 17:00:15,2022-03-03 05:01:32,Iridium,39.05080,-123.11110,527,1.6,3D Validated,,Nothing Detected,,21,3.36,3.68
35076,2022-03-02 17:00:15,2022-03-02 17:00:15,2022-03-03 11:01:17,Iridium,39.02659,-123.13968,160,1.2,3D Validated,,Nothing Detected,,19,3.36,3.68
35078,2022-03-02 16:00:38,2022-03-02 16:00:38,2022-03-03 05:00:42,Iridium,38.99394,-123.10977,168,1.2,3D Validated,,Nothing Detected,,15,3.2,3.6
