Behavioral State,Estimate (Cropland),SE,Estimate (Natural),SE2
Combined,6.717207055521173,786.1171800141697,6.834528126103618,786.1084389349355
Meandering,7.39530280650479,1480.1634800586735,4.275815073454193,845.9251988553285
Resting,8.060760452029214,995.5900655218104,5.588340241942987,751.0802278695032
Traveling,7.637681152704904,1326.9547820839164,6.5325720140776316,1137.4405309900828
