ID,step,angle,x,y,t,states
F1,80.59813701909789,NA,493420.73617041676,4315715.1157762855,2020-11-15T02:00:18Z,1
F1,4.804491670752425,-0.31281703758636203,493458.90059912694,4315786.105466186,2020-11-15T03:00:40Z,1
F1,934.982827681947,-0.6465040001949482,493462.3674660611,4315789.431721419,2020-11-15T04:00:12Z,3
F1,303.77616539462787,-2.6630271176701457,494390.82668129285,4315899.687667795,2020-11-15T05:00:14Z,3
F1,399.535947719475,0.866871326095136,494139.555571342,4315728.975079021,2020-11-15T06:00:39Z,3
F1,16.12814745764622,0.37824758565986816,494096.82260807836,4315331.730988605,2020-11-15T07:00:13Z,1
F1,10.024860091515286,2.7832578509256702,494101.1413718326,4315316.1918309685,2020-11-15T08:00:13Z,1
F1,3.752791339411836,-2.575333651693601,494102.01491847506,4315326.178558967,2020-11-15T09:00:13Z,1
F1,159.38327563466993,-2.4969133749643664,494103.74458413426,4315322.848138642,2020-11-15T10:00:21Z,2
F1,419.6018892766786,2.75805293047857,493960.0283973552,4315391.7588505065,2020-11-15T11:00:40Z,2
F1,15.734545400024272,0.46953272200852,494243.00731398625,4315081.938453781,2020-11-15T12:00:13Z,1
F1,565.1846874639152,-1.7459789774124959,494257.72704260645,4315076.3791815005,2020-11-15T13:00:12Z,3
F1,1087.2083176011768,-2.1998800018429048,493968.94261848385,4314590.542493582,2020-11-15T14:00:12Z,3
F1,396.5551462053408,-0.932471213408649,493540.14622861106,4315589.619858901,2020-11-15T15:00:14Z,3
F1,343.9723649245451,-0.9670081073043337,493739.60955820786,4315932.359357833,2020-11-15T16:00:09Z,3
F1,380.7713146019286,-0.38539920643426057,494082.569766193,4315958.72758816,2020-11-15T17:00:14Z,3
F1,692.2441211598175,-2.0950202068448847,494445.3457103217,4315843.053872973,2020-11-15T18:00:13Z,3
F1,382.6706264666555,-0.40177072259194,493933.1691304505,4315377.353245625,2020-11-15T19:00:14Z,3
F1,35.16032173055795,0.746797915184624,493571.9141724066,4315251.1325514065,2020-11-15T20:00:20Z,2
F1,141.30217480049615,-1.9870085925076726,493555.4331605372,4315220.074147198,2020-11-15T21:00:40Z,2
F1,265.84454344211736,-0.7818184530277512,493468.05008060613,4315331.116940504,2020-11-15T22:00:14Z,2
F1,54.194497640558914,0.3893947699195146,493498.5804824073,4315595.202562687,2020-11-15T23:00:17Z,2
F1,456.55212187091934,-1.6053783017785705,493483.9007640828,4315647.371034434,2020-11-16T00:00:17Z,2
F1,258.36510598528173,1.9083165706260488,493927.3980044041,4315755.768625792,2020-11-16T01:00:40Z,2
F1,41.88436792030204,3.012719527449765,493786.4056128418,4315972.2719133245,2020-11-16T02:00:27Z,1
F1,16.67675144691079,2.3204178539618656,493804.562102106,4315934.527480971,2020-11-16T03:00:25Z,1
F1,80.46491194705959,2.9956899455470927,493810.63636889966,4315950.058653552,2020-11-16T04:00:23Z,1
F1,72.14860752773583,-2.190101736744584,493770.74474274495,4315880.178325724,2020-11-16T05:00:14Z,1
F1,11.231450811650804,2.8628521592686633,493740.4861391759,4315945.675184261,2020-11-16T06:00:14Z,1
F1,10.286507297371758,-2.7668854963070526,493742.20935144724,4315934.576714691,2020-11-16T07:00:29Z,1
F1,144.37294394490218,0.9488817998177166,493737.02033964725,4315943.458515686,2020-11-16T08:00:19Z,2
F1,495.8279154659519,-0.23581370152407288,493593.2735888959,4315956.890514486,2020-11-16T09:00:21Z,2
F1,4.113984092402169,-0.24170878204393542,493124.03658948553,4316117.084022905,2020-11-16T10:00:40Z,1
F1,6.714341856121286,-0.8716383036937736,493120.5745639005,4316119.306463896,2020-11-16T11:00:13Z,1
F1,8.217872490603044,-2.441342511145703,493119.71438330633,4316125.965478531,2020-11-16T12:00:14Z,1
F1,11.260964001056665,2.9746656021219495,493125.7714726816,4316120.411642328,2020-11-16T13:00:22Z,1
F1,948.926376250738,-3.120666074539904,493118.85129899357,4316129.295363753,2020-11-16T14:00:40Z,3
F1,129.79525013518787,0.19119681679795775,493717.5296776817,4315393.057992768,2020-11-16T15:00:12Z,2
F1,25.53799167885503,2.3008180420505266,493817.06247213745,4315309.751151599,2020-11-16T16:00:26Z,1
F1,58.84006477014262,3.0782299856702404,493816.2164037689,4315335.275124395,2020-11-16T17:00:23Z,1
F1,19.413596884176478,2.4379284200329465,493814.43812702125,4315276.46193749,2020-11-16T18:00:23Z,1
F1,63.618000504713606,1.5792884932102955,493827.4406570107,4315290.8779687695,2020-11-16T19:00:28Z,1
F1,47.913566776773074,2.3859096979697405,493779.83945184166,4315333.084310173,2020-11-16T20:00:24Z,1
F1,417.88592334100525,2.027734051472678,493784.132229203,4315285.363434827,2020-11-16T21:00:25Z,3
F1,470.6822818750501,0.4231450234955537,494141.11946346465,4315502.593173815,2020-11-16T22:00:19Z,3
F1,273.66260175175734,-1.7886775447499308,494407.27465453604,4315890.798306106,2020-11-16T23:00:19Z,2
F1,71.16507929550588,2.647413361150948,494594.1970048508,4315690.920206879,2020-11-17T00:00:18Z,2
F1,609.9089046476159,1.5586253836796384,494576.057546081,4315759.734657009,2020-11-17T01:00:58Z,2
F1,20.042328266703482,-0.13536566859045696,493984.4459485083,4315611.462644863,2020-11-17T02:00:38Z,1
F1,5.615728032528086,1.6146669787998653,493964.525194812,4315609.25844557,2020-11-17T03:00:12Z,1
F1,4.865875825029967,1.8895898976662506,493965.3869953477,4315603.709238314,2020-11-17T04:00:13Z,1
F1,23.065418547001062,-2.7367227626699036,493969.7189260243,4315605.925343943,2020-11-17T05:00:38Z,1
